iter	Logloss
0	0.6786807707
1	0.664743911
2	0.6511817366
3	0.6381451134
4	0.6266896544
5	0.6153982073
6	0.6044137668
7	0.5946257665
8	0.5853613572
9	0.5766612378
10	0.5707471445
11	0.563194464
12	0.55595282
13	0.5493220774
14	0.5426516567
15	0.5361355145
16	0.5307630539
17	0.5247620191
18	0.5195703208
19	0.5142836935
20	0.5098869644
21	0.5050909821
22	0.5008179027
23	0.4970216217
24	0.4930558871
25	0.4900555257
26	0.4867791405
27	0.4840346535
28	0.4811584623
29	0.4785306791
30	0.4758862948
31	0.4732915037
32	0.4707644311
33	0.4683546957
34	0.4662617287
35	0.464370795
36	0.462227294
37	0.4599627746
38	0.4581444747
39	0.4564610979
40	0.4549398995
41	0.4532046109
42	0.4515483537
43	0.4499275296
44	0.4483042366
45	0.4468484523
46	0.4455394855
47	0.444212898
48	0.443002932
49	0.4420458214
50	0.4408750649
51	0.4397936241
52	0.438861516
53	0.4378914412
54	0.4368244035
55	0.4359329801
56	0.4351329017
57	0.4347620325
58	0.4339188874
59	0.4331188106
60	0.4322086379
61	0.431502861
62	0.4308215586
63	0.4302135237
64	0.4295107747
65	0.4291743864
66	0.428457343
67	0.4278579112
68	0.427088639
69	0.4265294529
70	0.4259889689
71	0.425389686
72	0.4248285017
73	0.4243365225
74	0.4237475118
75	0.4232368472
76	0.4227158397
77	0.42218244
78	0.421630646
79	0.421000343
80	0.4205400321
81	0.4200662015
82	0.4196269169
83	0.4191417886
84	0.418741825
85	0.4182700626
86	0.4181044569
87	0.4177102785
88	0.4172611746
89	0.4168695872
90	0.4164841025
91	0.4160479669
92	0.4157474032
93	0.4154603121
94	0.4150881712
95	0.4147295628
96	0.4143129235
97	0.4139087773
98	0.4134764021
99	0.4131626547
100	0.4128080884
101	0.4124327717
102	0.4121250872
103	0.4118279016
104	0.4115254732
105	0.4114287626
106	0.4110727384
107	0.4107545827
108	0.4104543284
109	0.4101917152
110	0.4098490221
111	0.4095158568
112	0.4092829489
113	0.409059845
114	0.4088528779
115	0.4085838688
116	0.4083401582
117	0.4081209274
118	0.4077557648
119	0.4074899885
120	0.4072704855
121	0.4070382064
122	0.4067593945
123	0.4065583669
124	0.4063522901
125	0.4060721554
126	0.4058585749
127	0.4056444334
128	0.4053077193
129	0.4051369255
130	0.4049317334
131	0.404652712
132	0.4044199395
133	0.4042368177
134	0.4039562648
135	0.4036893146
136	0.403527635
137	0.4032319588
138	0.4030124375
139	0.4028606029
140	0.4027231793
141	0.4025636566
142	0.4022605869
143	0.4019639041
144	0.4018126472
145	0.4015723046
146	0.4013146397
147	0.4010430055
148	0.4007689022
149	0.4005697624
150	0.4002782931
151	0.4001511446
152	0.3999369081
153	0.3997833104
154	0.3995541992
155	0.3994244096
156	0.3991182195
157	0.3989918539
158	0.3987838033
159	0.3985545369
160	0.3985391741
161	0.3984160141
162	0.398144774
163	0.3979239023
164	0.3977588316
165	0.3975987246
166	0.3974794675
167	0.3973202095
168	0.397193149
169	0.397047163
170	0.3968368831
171	0.3966452326
172	0.3964935935
173	0.3963614685
174	0.3962627403
175	0.3960715802
176	0.3958756852
177	0.3958337546
178	0.3956759359
179	0.3954959158
180	0.3952768032
181	0.395129419
182	0.3949253218
183	0.3947610281
184	0.3946201951
185	0.3944909821
186	0.3942997373
187	0.3941739074
188	0.3940982053
189	0.3939094131
190	0.3938330043
191	0.3936904935
192	0.3936679083
193	0.3935804661
194	0.3933514801
195	0.3932916462
196	0.3931842292
197	0.3930676343
198	0.3929380183
199	0.3928423352
200	0.3926817755
201	0.392599993
202	0.3923884322
203	0.3921905141
204	0.3919572301
205	0.3918271879
206	0.3917515993
207	0.3915900778
208	0.3914688836
209	0.3912783551
210	0.3911720481
211	0.391170037
212	0.3909884504
213	0.39079763
214	0.3907531424
215	0.3905662728
216	0.3903003009
217	0.3901488896
218	0.3900487154
219	0.3898231056
220	0.3897519545
221	0.3895975393
222	0.3894387723
223	0.3893213489
224	0.3891521398
225	0.3890740896
226	0.3889663122
227	0.3888556164
228	0.3887546653
229	0.3886175533
230	0.3884497924
231	0.3882750606
232	0.3881438935
233	0.3880240069
234	0.3879020311
235	0.3878316995
236	0.3877385324
237	0.3876245994
238	0.3874258291
