iter	Passed	Remaining
0	148	148270
1	150	75296
2	153	50940
3	155	38712
4	157	31373
5	159	26472
6	162	23009
7	164	20356
8	166	18303
9	168	16660
10	170	15316
11	172	14188
12	174	13238
13	176	12450
14	178	11750
15	180	11131
16	183	10582
17	185	10100
18	187	9665
19	189	9280
20	191	8939
21	193	8615
22	195	8319
23	198	8054
24	200	7809
25	202	7575
26	204	7362
27	206	7161
28	208	6976
29	210	6800
30	212	6637
31	214	6483
32	216	6341
33	218	6219
34	221	6099
35	223	5978
36	225	5861
37	227	5755
38	229	5649
39	231	5549
40	233	5455
41	235	5365
42	237	5281
43	239	5202
44	241	5123
45	243	5050
46	245	4983
47	247	4915
48	249	4847
49	251	4783
50	253	4723
51	255	4664
52	257	4607
53	259	4551
54	261	4498
55	264	4456
56	266	4406
57	268	4359
58	270	4314
59	272	4269
60	274	4227
61	276	4185
62	279	4152
63	281	4113
64	283	4076
65	285	4042
66	287	4006
67	289	3971
68	291	3938
69	293	3905
70	295	3872
71	298	3844
72	300	3812
73	302	3783
74	304	3753
75	306	3728
76	308	3700
77	310	3672
78	312	3647
79	314	3620
80	316	3594
81	318	3569
82	320	3544
83	322	3522
84	324	3491
85	326	3468
86	328	3448
87	330	3426
88	332	3404
89	334	3383
90	336	3363
91	338	3344
92	341	3328
93	343	3309
94	345	3293
95	348	3277
96	350	3261
97	353	3253
98	356	3242
99	358	3226
100	361	3214
101	363	3201
102	365	3185
103	367	3170
104	370	3154
105	372	3138
106	374	3122
107	376	3106
108	378	3091
109	380	3076
110	382	3060
111	384	3046
112	386	3031
113	388	3017
114	390	3006
115	392	2992
116	394	2978
117	397	2967
118	399	2959
119	401	2945
120	403	2932
121	405	2921
122	407	2908
123	409	2895
124	411	2882
125	413	2870
126	415	2858
127	417	2847
128	419	2835
129	422	2825
130	424	2813
131	426	2802
132	428	2791
133	430	2781
134	432	2770
135	434	2760
136	436	2749
137	438	2739
138	440	2730
139	442	2720
140	445	2711
141	447	2704
142	449	2694
143	451	2685
144	453	2676
145	456	2667
146	458	2658
147	460	2648
148	462	2639
149	464	2630
150	466	2622
151	468	2613
152	470	2604
153	472	2595
154	474	2587
155	476	2578
156	478	2569
157	480	2562
158	483	2555
159	485	2547
160	487	2539
161	489	2531
162	491	2523
163	493	2515
164	495	2508
165	497	2500
166	499	2492
167	501	2484
168	503	2477
169	505	2469
170	507	2461
171	509	2454
172	512	2449
173	514	2441
174	516	2434
175	518	2425
176	520	2418
177	522	2412
178	524	2405
179	526	2398
180	528	2390
181	530	2383
182	532	2376
183	534	2370
184	536	2364
185	539	2360
186	541	2353
187	543	2347
188	545	2340
189	547	2334
190	549	2328
191	551	2322
192	553	2315
193	555	2309
194	557	2303
195	559	2296
196	562	2291
197	564	2285
198	566	2280
199	568	2273
200	570	2267
201	572	2261
202	574	2255
203	576	2249
204	578	2243
205	580	2238
206	582	2232
207	585	2227
208	587	2222
209	589	2216
210	591	2210
211	593	2205
212	595	2200
213	597	2195
214	599	2189
215	601	2184
216	603	2178
217	605	2172
218	607	2167
219	609	2162
220	611	2156
221	613	2151
222	616	2147
223	618	2142
224	620	2137
225	622	2132
226	624	2127
227	627	2123
228	629	2118
229	631	2112
230	633	2107
231	635	2102
232	637	2098
233	639	2093
234	641	2089
235	643	2084
236	645	2079
237	648	2074
238	650	2069
239	652	2064
240	653	2058
241	655	2054
242	657	2049
243	659	2044
244	661	2039
245	663	2034
246	665	2030
247	667	2025
248	669	2020
249	672	2016
250	674	2011
251	676	2007
252	678	2002
253	680	1999
254	682	1994
255	684	1989
256	686	1985
257	688	1981
258	690	1976
259	693	1972
260	695	1968
261	697	1963
262	699	1959
263	701	1955
264	703	1951
265	705	1947
